Year,"Country of Asylum","Country of Origin","Country of Asylum ISO","Country of Origin ISO","Female 0 - 4","Female 5 - 11","Female 12 - 17","Female 18 - 59","Female 60+","Female Other","Female Total","Male 0 - 4","Male 5 - 11","Male 12 - 17","Male 18 - 59","Male 60+","Male Other","Male Total",Total
2019,"United States of America","South Sudan",USA,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82
2020,Egypt,"South Sudan",EGY,SSD,938,1810,1455,5646,199,0,10048,1015,1895,1368,5422,57,0,9757,19805
2020,"United States of America","South Sudan",USA,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105
2021,Egypt,"South Sudan",EGY,SSD,1021,1889,1484,5891,196,0,10481,1130,1940,1434,5667,61,0,10232,20713
2021,"United States of America","South Sudan",USA,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125
2022,Egypt,"South Sudan",EGY,SSD,1311,2091,1789,6983,205,0,12379,1374,2255,1721,6549,68,0,11967,24346
2022,"United States of America","South Sudan",USA,SSD,0,0,0,9,0,0,9,0,0,0,15,0,0,15,143
2023,Egypt,"South Sudan",EGY,SSD,2262,3151,2576,11088,328,0,19405,2379,3384,2414,10221,112,0,18510,37915
2023,"United States of America","South Sudan",USA,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242
2024,Egypt,"South Sudan",EGY,SSD,2745,4062,3407,13671,437,0,24322,2909,4286,3191,11302,153,0,21841,46163
2024,"United States of America","South Sudan",USA,SSD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293
